latency,retransmission,bandwidth,label
0.000018,0,12524730,wired
0.000017,0,9621330,wired
0.000015,0,12526416,wired
0.000060,0,12524032,wired
0.000062,0,12525538,wired
0.000041,0,12524916,wired
0.000015,0,12523934,wired
0.000015,0,12524556,wired
0.000015,0,12524724,wired
0.000015,0,11507742,wired
0.000015,0,12204366,wired
0.000015,0,11660178,wired
0.000021,0,10502736,wired
0.000015,0,12524832,wired
0.000014,0,12524736,wired
0.000014,0,12524662,wired
0.000015,0,12521550,wired
0.000015,0,12524796,wired
0.000015,0,12524850,wired
0.000016,0,12525444,wired
0.000016,0,12523344,wired
0.000015,0,12524676,wired
0.000023,0,9708642,wired
0.000018,0,12524790,wired
0.000016,0,12524910,wired
0.000013,0,12524952,wired
0.000012,0,11882436,wired
0.000012,0,12523880,wired
0.000012,0,12524676,wired
0.000039,0,12525084,wired
0.000012,0,11507862,wired
0.000039,0,12524910,wired
0.000018,0,9619842,wired
0.000024,0,12524730,wired
0.000018,0,12524952,wired
0.000014,0,12524790,wired
0.000014,0,12524608,wired
0.000014,0,12524826,wired
0.000014,0,12524730,wired
0.000015,0,12524610,wired
0.000014,0,12524610,wired
0.000014,0,12524622,wired
0.000014,0,10673574,wired
0.000016,0,11531346,wired
0.000013,0,12524730,wired
0.000012,0,12524730,wired
0.000013,0,12523332,wired
0.000012,0,12523886,wired
0.000012,0,12524676,wired
0.000013,0,12524892,wired
0.000012,0,12524910,wired
0.000013,0,12524469,wired
0.000013,0,12524415,wired
0.000023,0,9716334,wired
0.000025,0,12524028,wired
0.000014,0,12524730,wired
0.000024,0,12524796,wired
0.000013,0,12524736,wired
0.000029,0,12525013,wired
0.000014,0,12523284,wired
0.000012,0,12524730,wired
0.000013,0,12524832,wired
0.000080,0,12530047,wired
0.000017,0,9622674,wired
0.000018,0,12523799,wired
0.000016,0,12525311,wired
0.000015,0,12525101,wired
0.000015,0,12523919,wired
0.000016,0,12525446,wired
0.000016,0,12524718,wired
0.000014,0,12524730,wired
0.000014,0,12524670,wired
0.000014,0,12524676,wired
0.000014,0,9709716,wired
0.000015,0,12454272,wired
0.000015,0,12524622,wired
0.000014,0,12524724,wired
0.000014,0,12524790,wired
0.000015,0,12524896,wired
0.000014,0,12524730,wired
0.000015,0,12523054,wired
0.000014,0,12524790,wired
0.000067,0,12525879,wired
0.000041,0,12524559,wired
0.000018,0,9647433,wired
0.000030,0,12523554,wired
0.000015,0,12524836,wired
0.000015,0,12524832,wired
0.000015,0,12524790,wired
0.000014,0,12524910,wired
0.000014,0,12524790,wired
0.000015,0,12523525,wired
0.000016,0,12240440,wired
0.000057,0,12524472,wired
0.000016,0,12520740,wired
0.000016,0,12523812,wired
0.000016,0,12523056,wired
0.000016,0,12523212,wired
0.000015,0,12524796,wired
0.000014,0,12524784,wired
0.000014,0,12524608,wired
0.000014,0,12524730,wired
0.000015,0,10770120,wired
0.000027,0,11466732,wired
0.000018,0,12524724,wired
0.000013,0,12524670,wired
0.000013,0,12524790,wired
0.000012,0,12524736,wired
0.000012,0,12524724,wired
0.000012,0,12524832,wired
0.000012,0,12524850,wired
0.000012,0,12524100,wired
0.000012,0,12524784,wired
0.000018,0,9556800,wired
0.000021,0,12523946,wired
0.000014,0,12524850,wired
0.000013,0,12524790,wired
0.000012,0,12524730,wired
0.000014,0,12524790,wired
0.000014,0,12524722,wired
0.000026,0,12523450,wired
0.000040,0,12525132,wired
0.000014,1,12538254,wired
0.000018,0,9587692,wired
0.000026,0,12524812,wired
0.000015,0,12522738,wired
0.000015,0,12524790,wired
0.000015,0,12524724,wired
0.000015,0,12524682,wired
0.000100,0,12527150,wired
0.000016,0,12523500,wired
0.000016,0,12523440,wired
0.000015,0,12524676,wired
0.000015,0,9544566,wired
0.000017,0,12493650,wired
0.000043,0,12526029,wired
0.000082,0,12526150,wired
0.000015,0,12523864,wired
0.000016,0,12526234,wired
0.000017,0,12525302,wired
0.000019,0,12524828,wired
0.000038,0,12523398,wired
0.000024,0,12524668,wired
0.000031,0,12524982,wired
0.000024,0,9569118,wired
0.000024,0,12523980,wired
