VIRT,CPU,RAM
5424776,94.1,60.1
5428372,100.0,60.2
5432200,100.0,60.2
5434484,81.2,60.2
5437324,100.0,60.3
5440700,93.8,60.3
5444316,100.0,60.4
5446404,64.7,60.4
5448852,94.1,60.4
5452644,88.9,60.5
5456368,94.1,60.5
5459176,11.8,60.5
5460884,70.6,60.6
5464400,76.2,60.6
5467204,91.3,60.7
5470624,100.0,60.7
5474248,100.0,60.7
5476456,55.6,60.8
5478444,100.0,60.8
5481832,94.1,60.8
5484468,85.0,60.8
5486836,76.5,60.9
5489760,100.0,60.9
5492708,94.1,60.9
5495708,84.2,61.0
5506016,100.0,61.0
5508880,62.5,61.0
5512404,100.0,61.1
5514860,68.8,61.0
5517132,94.1,61.0
5521600,100.0,61.1
5524508,100.0,61.1
5525624,100.0,61.2
5529876,82.4,61.2
5533472,50.0,61.3
5535460,94.7,61.3
5545156,45.0,61.4
5547164,100.0,61.4
5550124,16.7,61.4
5551272,94.1,61.4
5553348,100.0,61.5
5555016,94.4,61.5
5556832,100.0,61.5
5558864,100.0,61.5
5561688,100.0,61.5
5565236,100.0,61.6
5567404,93.8,61.6
5570084,93.8,61.6
5572900,94.1,61.7
5575360,81.2,61.6
5579356,100.0,61.7
5582672,88.9,61.7
5585448,82.4,61.8
5587840,100.0,61.8
5591264,100.0,61.8
5593952,94.1,61.8
5597448,93.8,61.9
5599764,100.0,61.9
5601768,81.2,61.9
5604652,100.0,62.0
5617628,82.4,62.1
5622828,25.0,62.1
5624388,47.1,62.1
5626384,83.3,62.2
5630652,100.0,62.2
5633576,100.0,62.3
5634528,93.8,62.3
5636328,93.8,62.3
5639272,100.0,62.3
5642500,76.5,62.4
5645588,88.2,62.4
5647372,100.0,62.4
5650448,100.0,62.4
5653412,94.1,62.5
5655368,76.5,62.5
5657044,77.8,62.5
5659904,94.1,62.6
5663272,100.0,62.6
5666008,93.8,62.7
5668432,72.2,62.7
5671152,100.0,62.7
5673284,100.0,62.7
5675812,93.8,62.8
5678044,62.5,62.8
5681448,94.1,62.9
5683484,93.8,62.9
5686248,100.0,62.9
5688372,0.0,63.0
5690368,60.0,63.0
5692224,100.0,63.0
5694564,86.7,63.0
5697688,88.2,63.1
5700452,94.1,63.1
5702168,87.5,63.1
5704720,81.2,63.2
5706840,87.5,63.2
5710340,88.2,63.2
5712456,100.0,63.3
5713992,94.1,63.3
5716380,93.8,63.3
5718528,100.0,63.3
5720856,100.0,63.4
5730928,88.2,63.4
5733044,82.4,63.4
5734796,100.0,63.5
5736476,100.0,63.5
5739496,76.0,63.5
5742300,81.2,63.6
5744780,77.8,63.6
5747068,100.0,63.6
5749392,100.0,63.6
5751084,77.8,63.7
5753776,47.4,63.7
5757480,100.0,63.8
5758964,81.2,63.8
5761224,94.1,63.8
5764380,100.0,63.8
5766272,100.0,63.9
5769308,94.1,63.9
5771000,88.2,63.9
5772752,58.8,64.0
5775476,88.2,63.9
5776928,94.1,64.0
